track_name,artist
Players,Coi Leray
Flowers,Miley Cyrus
10:35,Tiësto
Wasted,Peking Duk
Green Green Grass,George Ezra
Calm Down (with Selena Gomez),Rema
Maria Maria (feat. The Product G&B),Santana
SLUT ME OUT,NLE Choppa
It's Like That,Run–D.M.C.
Drive,Incubus
Cupid - Twin Ver.,FIFTY FIFTY
Boy's a liar Pt. 2,PinkPantheress
Wrapped Around Your Finger,Post Malone
Rhyme Dust,MK
Baby again..,Fred again..
Cupid,FIFTY FIFTY
Cornflake Girl,Tori Amos
Home For My Heart,ArrDee
COMMA'S,ONEFOUR
What It Is (Solo Version),Doechii
