artist,album,track_name,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,Clusters
Morgan Wallen,3 Songs At A Time Sampler,Last Night,0.517,0.675,-5.382,0.0357,0.0,0.151,0.518,203.853,2
Calvin Harris,Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),0.636,0.869,-5.289,0.0412,0.0446,0.0808,0.306,143.011,2
RAYE,Escapism. / The Thrill Is Gone.,Escapism.,0.538,0.742,-5.355,0.114,4.67e-05,0.0934,0.25,96.107,2
Metro Boomin,HEROES & VILLAINS,Creepin' (with The Weeknd & 21 Savage),0.715,0.62,-6.005,0.0484,0.0,0.0822,0.172,97.95,2
Oliver Tree,Miss You,Miss You,0.587,0.742,-6.64,0.0529,0.00107,0.146,0.199,145.007,2
Miley Cyrus,Flowers,Flowers,0.707,0.681,-4.325,0.0668,5.15e-06,0.0322,0.646,117.999,2
P!nk,TRUSTFALL,TRUSTFALL,0.636,0.888,-3.889,0.0945,0.000216,0.147,0.25,122.032,2
Tones And I,I Am Free,I Am Free,0.59,0.713,-4.172,0.0475,0.0,0.106,0.46,125.285,2
Niall Horan,Heaven,Heaven,0.571,0.761,-3.485,0.0261,0.0,0.331,0.681,91.991,2
Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,0.472,0.671,-4.649,0.029,0.0,0.159,0.0681,82.952,2
Keane,Hopes And Fears,Somewhere Only We Know,0.448,0.665,-4.203,0.026,2.55e-05,0.0828,0.304,172.004,2
Budjerah,Therapy,Therapy,0.61,0.611,-4.652,0.0297,0.0,0.174,0.417,104.943,2
Nicki Minaj,Red Ruby Da Sleeze,Red Ruby Da Sleeze,0.696,0.733,-6.181,0.256,0.0,0.111,0.292,98.355,2
Lewis Capaldi,Forget Me,Forget Me,0.669,0.742,-3.518,0.0441,0.0,0.355,0.716,101.982,2
Ricki-Lee,On My Own,On My Own,0.539,0.821,-2.831,0.041,0.0,0.368,0.149,94.923,2
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),0.637,0.715,-4.971,0.0455,0.0,0.0892,0.308,141.872,2
Aaron Smith,Dancin (feat. Luvli) [Krono Remix],Dancin (feat. Luvli) - Krono Remix,0.72,0.741,-6.529,0.0287,1.41e-05,0.289,0.357,119.896,2
Miley Cyrus,Endless Summer Vacation,River,0.613,0.803,-5.171,0.0367,0.000333,0.189,0.461,127.989,2
Ed Sheeran,Celestial,Celestial,0.574,0.852,-1.248,0.0397,0.0,0.161,0.501,123.038,2
