track_name,artist
Escapism.,RAYE
Creepin' (with The Weeknd & 21 Savage),Metro Boomin
Kill Bill,SZA
Last Night,Morgan Wallen
Bloody Mary,Lady Gaga
The Reason,Hoobastank
Red Ruby Da Sleeze,Nicki Minaj
Somewhere Only We Know,Keane
Spin Bout U,Drake
Bebe Dame,Fuerza Regida
This Is,Ella Mai
sdp interlude,Travis Scott
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin
Frágil,Yahritza Y Su Esencia
Die For You,The Weeknd
